"HP.Indx.England","HP.Indx.NorIre","HP.Indx.Scot","HP.Indx.Wales","DATE"
74.09085627,90.8022472766667,66.1656650366667,80.5872609566667,"2004 Q2"
78.0083854533333,94.60609367,69.9147356666667,87.57217618,"2004 Q3"
78.8038356766667,96.68304047,70.83109523,89.4814388466667,"2004 Q4"
78.3518432333333,100.883607,70.1894652166667,90.08283612,"2005 Q1"
80.26554054,104.5646631,77.6905197733333,92.5727133266667,"2005 Q2"
81.8914340566667,111.219,81.58024694,96.3929563166667,"2005 Q3"
82.0262124333333,115.0839643,81.33684982,95.9766651533333,"2005 Q4"
82.3969275133333,118.3541291,81.06857132,96.88332916,"2006 Q1"
85.1276960566667,129.7261979,87.8162730066667,99.7935297466667,"2006 Q2"
87.42546746,144.699358,92.2578028166667,102.5263806,"2006 Q3"
88.8441735933333,162.1067164,93.01478375,103.7782372,"2006 Q4"
90.0365745966667,179.3315773,93.8756090233333,103.972387866667,"2007 Q1"
93.0624865833333,195.3768161,102.8100708,107.284763833333,"2007 Q2"
95.7089445866667,202.5148625,105.5645183,109.372787033333,"2007 Q3"
95.8934027,193.1395473,103.937108433333,109.120765266667,"2007 Q4"
93.7403671766667,178.8009931,102.192598866667,105.8906998,"2008 Q1"
93.04519063,167.5183269,105.349366433333,104.4036005,"2008 Q2"
89.4840150133333,151.5016591,101.246697376667,100.426855643333,"2008 Q3"
83.35545852,138.6101596,96.1861237833333,96.63475751,"2008 Q4"
79.3617016633333,126.3655783,91.6856228133333,91.1153566933333,"2009 Q1"
80.1846384266667,127.5362366,96.25959359,92.7062536033333,"2009 Q2"
83.55534214,127.8745272,98.18323748,94.5735615266667,"2009 Q3"
85.3263949166667,127.9915141,98.8309101066667,96.6612041233333,"2009 Q4"
86.18121758,122.3197109,94.9432188066667,94.5951872266667,"2010 Q1"
87.6165874466667,121.2500916,98.8937330366667,96.9796965466667,"2010 Q2"
88.98877043,119.1306248,99.5453457966667,97.8485783033333,"2010 Q3"
87.1620303166667,112.2364193,97.56686991,95.3734719466667,"2010 Q4"
85.6600472666667,107.2867155,94.31103623,93.2480625533333,"2011 Q1"
86.2676803533333,105.5907736,96.54769528,94.4015065833333,"2011 Q2"
87.3004455666667,103.7568995,98.2784209,95.2338631233333,"2011 Q3"
86.2984188,100.8392059,94.6612755533333,94.3852144033333,"2011 Q4"
85.88427622,94.38593086,92.13534614,92.95100899,"2012 Q1"
87.46201726,94.63386677,93.8457092433333,94.62709291,"2012 Q2"
88.6424563366667,92.01890141,93.8699176566667,94.5430508733333,"2012 Q3"
87.9903895133333,89.82030122,91.3787946633333,93.64250682,"2012 Q4"
87.45267969,87.82080257,89.9383173766667,93.1001798666667,"2013 Q1"
89.16186714,89.44421632,92.8417628066667,94.1847317366667,"2013 Q2"
91.36175807,91.18861328,95.33482035,95.3446328766667,"2013 Q3"
92.04618658,91.83288829,94.61415674,94.6766583433333,"2013 Q4"
93.2764973966667,93.35695197,93.5349882033333,96.56588981,"2014 Q1"
96.6817388133333,96.47625034,97.49306165,98.7169051566667,"2014 Q2"
99.8855744866667,98.35609829,100.167104563333,100.50345322,"2014 Q3"
100.13042202,99.82872802,99.0495054,100.4869706,"2014 Q4"
100.1762461,100,100.605867116667,99.6441693533333,"2015 Q1"
102.5483614,103.0648978,100.435635646667,101.133128733333,"2015 Q2"
106.089329166667,106.1074842,102.7152973,102.8570038,"2015 Q3"
107.5902145,107.0448198,101.9684944,103.6635117,"2015 Q4"
109.051353,107.1306628,100.689417996667,103.893080033333,"2016 Q1"
111.505073066667,111.0953682,102.487109,105.931076666667,"2016 Q2"
113.8562858,112.4306321,104.6536508,106.921378533333,"2016 Q3"
113.860885666667,112.7268075,103.413935466667,107.573865133333,"2016 Q4"
114.374986066667,112.4804358,101.578573733333,107.732465066667,"2017 Q1"
116.7238096,114.6371967,105.4162093,109.6164834,"2017 Q2"
119.3089415,116.1690285,108.512463233333,111.916308,"2017 Q3"
119.2090994,116.8211623,107.8487435,113.0961985,"2017 Q4"
118.8822926,117.4433856,108.066791333333,112.711247433333,"2018 Q1"
120.0860485,119.0688708,110.408713633333,113.894230766667,"2018 Q2"
122.393981266667,121.3442465,112.471887633333,117.498479266667,"2018 Q3"
121.774140566667,123.2773789,110.9877818,118.3391925,"2018 Q4"
120.290840733333,122.078379,110.2304605,116.9000514,"2019 Q1"
120.847258633333,123.4541596,112.355746433333,118.986477966667,"2019 Q2"
122.801008866667,126.0479766,114.567288066667,121.698444133333,"2019 Q3"
122.386809566667,126.3218628,112.8193353,122.717431966667,"2019 Q4"
122.214696566667,126.8455803,112.0676296,121.485566266667,"2020 Q1"
122.3632659,126.9526508,113.6230644,119.998290833333,"2020 Q2"
126.063841333333,129.5501888,116.056308066667,125.2181803,"2020 Q3"
129.315588733333,132.931827,120.8854676,131.101795366667,"2020 Q4"
132.180572633333,134.3828315,122.188403466667,133.5508747,"2021 Q1"
134.6640923,139.1050497,124.2199914,138.14399,"2021 Q2"
137.129415233333,143.4086239,131.868672333333,141.579630066667,"2021 Q3"
140.637476633333,143.4385523,133.278634566667,147.956234966667,"2021 Q4"
145.240649266667,148.3593917,135.127115066667,151.5659722,"2022 Q1"
